,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
390,grants,us,35.15,-107.85,51.8,14.0,1.0,5.82
392,avarua,ck,-21.21,-159.78,82.4,83.0,40.0,3.36
393,kayan,mm,16.91,96.56,78.8,78.0,44.0,4.7
398,fairbanks,us,64.84,-147.72,26.01,79.0,90.0,4.61
414,zyryanka,ru,65.73,150.89,-20.63,61.0,36.0,5.95
418,monteagudo,bo,-19.8,-63.96,68.0,82.0,90.0,2.93
419,ilulissat,gl,69.22,-51.1,17.6,92.0,90.0,3.36
420,platnirovskaya,ru,45.39,39.39,48.2,87.0,64.0,4.47
425,kungurtug,ru,50.6,97.53,7.01,69.0,0.0,2.82
428,manta,ec,-0.95,-80.73,82.4,74.0,40.0,11.41
431,mezen,ru,65.85,44.24,-10.91,73.0,0.0,2.37
435,luderitz,na,-26.65,15.16,66.2,63.0,80.0,14.99
437,redcar,gb,54.62,-1.06,37.76,69.0,20.0,3.36
441,upernavik,gl,72.79,-56.15,-1.64,100.0,32.0,5.28
445,cortez,us,37.35,-108.58,46.4,22.0,1.0,4.7
451,fortuna,us,40.6,-124.16,57.36,76.0,90.0,3.38
452,lagoa,pt,37.14,-8.45,55.4,43.0,0.0,8.05
457,townsville,au,-19.26,146.82,77.0,94.0,40.0,5.82
459,eureka,us,40.8,-124.16,57.18,54.0,90.0,3.38
460,lusambo,cd,-4.97,23.44,73.16,89.0,92.0,2.15
465,iskateley,ru,67.68,53.15,-23.96,36.0,0.0,2.71
469,shipitsyno,ru,61.28,46.52,18.53,83.0,80.0,18.7
477,shingu,jp,33.72,135.99,54.08,100.0,100.0,36.82
482,tual,id,-5.67,132.75,80.63,100.0,88.0,13.44
490,mairang,in,25.56,91.64,54.71,89.0,0.0,2.26
491,mwingi,ke,-0.93,38.07,66.77,97.0,92.0,2.48
493,tazmalt,dz,36.39,4.4,53.6,62.0,40.0,12.75
498,gizo,sb,-8.1,156.84,82.52,100.0,76.0,5.39
501,farmersville,us,36.3,-119.21,62.28,55.0,40.0,10.29
514,ayorou,ne,14.73,0.92,76.85,25.0,12.0,2.71
519,jalu,ly,29.03,21.55,66.86,35.0,0.0,11.54
524,lakhdenpokhya,ru,61.52,30.2,14.21,79.0,64.0,8.3
525,suwalki,pl,54.11,22.93,29.06,83.0,64.0,16.58
529,bayanday,ru,53.07,105.52,22.31,63.0,0.0,11.1
530,chicama,pe,-7.84,-79.15,71.6,83.0,20.0,11.41
535,vostok,ru,46.45,135.83,-6.41,56.0,0.0,1.92
539,kongolo,cd,-5.39,27.0,68.21,98.0,12.0,2.15
542,ballyshannon,ie,54.5,-8.19,40.04,96.0,20.0,12.44
547,strezhevoy,ru,60.73,77.6,21.2,92.0,75.0,13.42
549,exmouth,gb,50.62,-3.41,39.2,100.0,40.0,2.24
553,kidal,ml,18.44,1.41,72.44,23.0,0.0,7.07
556,korla,cn,41.76,86.15,30.86,72.0,0.0,2.82
557,cajabamba,pe,-7.62,-78.05,57.5,66.0,76.0,2.48
563,taunton,gb,51.02,-3.1,41.36,100.0,20.0,5.82
569,leh,in,34.16,77.58,-8.48,77.0,64.0,1.81
571,araouane,ml,18.9,-3.53,73.79,18.0,0.0,8.41
572,faanui,pf,-16.48,-151.75,78.74,100.0,68.0,13.44
578,beringovskiy,ru,63.05,179.32,11.33,100.0,92.0,8.63
579,toora-khem,ru,52.47,96.11,4.13,69.0,0.0,2.15
581,belmonte,br,-26.84,-53.58,69.74,100.0,92.0,10.98
582,zhireken,ru,52.82,117.29,12.77,66.0,0.0,2.59
585,ahipara,nz,-35.17,173.16,68.57,82.0,0.0,8.86
589,constantine,dz,36.36,6.61,42.8,47.0,40.0,12.75
590,roura,gf,4.73,-52.33,84.2,74.0,80.0,13.87
593,butembo,cd,0.12,29.29,61.64,98.0,44.0,3.15
600,katsuura,jp,33.93,134.5,41.0,100.0,90.0,13.87
601,kenai,us,60.55,-151.26,32.92,73.0,1.0,5.82
602,bulgan,mn,48.81,103.53,28.43,70.0,44.0,6.29
603,tenenkou,ml,14.46,-4.91,81.89,30.0,0.0,6.51
612,uige,ao,-7.61,15.06,68.48,94.0,64.0,2.15
617,severnoye,ru,54.09,52.54,-3.71,51.0,0.0,2.71
636,veracruz,mx,24.02,-103.93,75.2,12.0,5.0,4.7
637,kavieng,pg,-2.57,150.8,83.06,100.0,56.0,10.65
639,roma,au,-26.57,148.79,65.15,73.0,32.0,8.19
648,torbay,ca,47.66,-52.73,30.2,74.0,90.0,21.92
649,muriti,tz,-1.99,32.93,73.4,83.0,75.0,11.41
654,caraquet,ca,47.79,-64.94,33.8,47.0,20.0,12.75
655,bama,ng,11.52,13.69,75.23,33.0,0.0,5.73
662,stepnyak,kz,52.83,70.79,28.43,95.0,92.0,6.17
670,sitka,us,37.17,-99.65,58.94,58.0,0.0,9.98
673,itarema,br,-2.92,-39.92,81.98,73.0,0.0,11.1
674,kindu,cd,-2.95,25.92,71.0,92.0,80.0,2.48
678,kouroussa,gn,10.65,-9.88,83.78,60.0,12.0,2.15
689,yaring,th,6.87,101.37,74.15,94.0,24.0,2.93
690,stornoway,gb,58.21,-6.39,41.0,90.0,68.0,9.17
692,cadiz,es,36.53,-6.3,49.93,53.0,20.0,6.93
698,hamilton,bm,32.3,-64.78,68.0,64.0,40.0,14.99
705,revda,ru,67.94,34.55,1.16,69.0,0.0,3.04
706,lufilufi,ws,-13.87,-171.6,78.8,83.0,75.0,8.05
708,barcelos,br,-0.97,-62.93,89.81,62.0,32.0,8.41
709,pangody,ru,65.85,74.49,-13.07,60.0,8.0,7.07
711,tukan,ru,53.84,57.45,0.35,60.0,0.0,2.26
715,mentor,us,41.67,-81.34,37.42,55.0,1.0,23.04
716,artyom,az,40.47,50.33,46.4,100.0,75.0,14.99
719,saint-augustin,ca,45.63,-73.98,28.4,42.0,5.0,4.7
728,umea,se,63.83,20.26,23.0,73.0,0.0,10.29
735,pyay,mm,18.82,95.22,74.78,66.0,0.0,3.27
739,jiayuguan,cn,39.77,98.29,27.35,65.0,48.0,4.94
747,chumikan,ru,54.72,135.31,23.48,67.0,64.0,13.67
750,marau,br,-28.45,-52.2,69.8,83.0,75.0,6.93
751,minab,ir,27.15,57.07,69.8,68.0,0.0,6.93
752,aksarka,ru,66.56,67.8,-16.94,49.0,36.0,9.42
754,kamloops,ca,50.68,-120.34,48.2,45.0,40.0,4.7
757,riyadh,sa,24.63,46.72,78.8,16.0,0.0,6.93
758,taganrog,ru,47.24,38.9,33.74,94.0,88.0,9.31
759,tahta,eg,26.77,31.5,71.6,40.0,0.0,6.93
771,lucapa,ao,-8.42,20.74,69.47,91.0,64.0,2.59
775,thinadhoo,mv,0.53,72.93,85.04,98.0,76.0,11.32
776,lugo,es,43.01,-7.56,37.7,82.0,0.0,6.85
789,kutum,sd,14.2,24.66,60.56,20.0,0.0,7.29
791,kununurra,au,-15.77,128.74,77.0,88.0,8.0,4.7
795,iqaluit,ca,63.75,-68.52,-0.41,70.0,20.0,24.16
797,batagay-alyta,ru,67.8,130.41,-28.73,42.0,8.0,2.71
799,coahuayana,mx,18.62,-100.35,92.06,19.0,0.0,2.93
802,petukhovo,ru,55.06,67.89,10.79,78.0,0.0,4.72
806,gangapur,in,19.7,75.01,69.56,44.0,8.0,7.18
812,tutoia,br,-2.76,-42.27,87.8,70.0,40.0,13.87
813,aklavik,ca,68.22,-135.01,2.68,65.0,75.0,2.24
814,anadyr,ru,64.73,177.51,-9.41,76.0,0.0,2.24
823,nyurba,ru,63.29,118.35,9.08,84.0,0.0,7.4
824,chawinda,pk,32.35,74.71,60.8,72.0,40.0,6.93
825,cacu,br,-18.56,-51.13,87.74,62.0,0.0,3.04
826,marabba,sd,12.35,32.18,68.48,40.0,0.0,2.82
827,migori,ke,-1.07,34.47,62.18,100.0,32.0,3.94
832,along,in,28.17,94.8,55.07,71.0,56.0,1.59
834,cooma,au,-36.24,149.13,49.04,100.0,92.0,6.85
838,celendin,pe,-6.87,-78.15,62.6,63.0,75.0,6.93
839,koslan,ru,63.46,48.9,5.03,67.0,76.0,7.63
843,mlonggo,id,-6.53,110.7,74.96,100.0,48.0,5.17
845,manaus,br,-3.13,-59.98,87.8,62.0,40.0,6.93
850,gimli,ca,50.63,-96.99,32.21,100.0,80.0,6.51
855,kokopo,pg,-4.34,152.27,79.91,100.0,68.0,4.72
859,soyo,ao,-6.13,12.37,77.93,88.0,32.0,3.38
865,warrnambool,au,-38.38,142.48,58.94,90.0,0.0,14.67
871,kampot,kh,10.62,104.18,70.82,97.0,88.0,5.39
875,inuvik,ca,68.36,-133.71,3.33,70.0,75.0,2.24
878,severobaykalsk,ru,55.65,109.32,20.51,84.0,92.0,6.62
879,alofi,nu,-19.06,-169.92,77.84,100.0,68.0,6.85
887,fare,pf,-16.7,-151.02,80.54,100.0,92.0,15.46
889,qadian,in,31.82,75.38,73.4,83.0,90.0,21.92
893,dalvik,is,65.97,-18.53,37.4,86.0,75.0,2.93
894,lerwick,gb,60.15,-1.15,41.0,86.0,80.0,10.29
895,praya,id,-8.71,116.27,73.4,88.0,0.0,3.36
896,rio grande,br,-0.92,-48.06,77.0,88.0,75.0,24.16
903,klyuchi,ru,52.25,79.17,22.13,84.0,92.0,9.19
905,gazli,uz,40.13,63.45,51.83,82.0,0.0,2.93
906,lebu,cl,-37.62,-73.65,62.27,100.0,0.0,19.71
908,sinnamary,gf,5.38,-52.96,79.73,97.0,88.0,11.77
923,phun phin,th,9.11,99.23,76.13,90.0,24.0,0.69
925,ndola,zm,-12.97,28.64,70.64,64.0,88.0,5.39
941,durban,za,-29.86,31.03,79.46,94.0,24.0,25.3
943,uruzgan,af,32.93,66.63,30.23,90.0,0.0,2.71
952,dangriga,bz,16.97,-88.23,87.8,58.0,20.0,8.05
955,seddon,nz,-41.67,174.07,65.15,83.0,0.0,8.41
965,vao,nc,-22.67,167.48,78.2,100.0,32.0,11.77
967,meulaboh,id,4.14,96.13,76.76,100.0,24.0,5.28
970,havre,us,48.55,-109.68,33.8,80.0,90.0,12.75
973,abidjan,ci,5.32,-4.02,84.2,79.0,40.0,10.29
982,sobolevo,ru,54.43,31.9,20.69,84.0,92.0,1.92
984,cabedelo,br,-6.97,-34.84,86.0,58.0,40.0,10.29
986,dokka,no,60.83,10.07,22.4,76.0,56.0,2.26
988,kruisfontein,za,-34.0,24.73,62.72,97.0,8.0,10.98
989,hanna,ca,51.64,-111.93,34.64,100.0,20.0,4.61
1005,neftcala,az,39.37,49.25,47.33,92.0,0.0,3.38
1006,mercedes,ar,-29.18,-58.08,81.8,34.0,0.0,10.54
1008,coxim,br,-18.5,-54.75,85.49,74.0,20.0,4.16
1012,bilibino,ru,68.06,166.44,-25.04,36.0,0.0,2.37
1018,iquitos,pe,-3.75,-73.25,82.4,78.0,75.0,4.7
1019,ganzhou,cn,25.86,114.93,44.63,91.0,64.0,7.4
1025,pavlovka,ru,52.69,47.13,0.8,61.0,48.0,2.71
1029,mehamn,no,71.03,27.85,17.87,72.0,40.0,13.87
1030,kalmunai,lk,7.42,81.82,74.69,98.0,64.0,1.7
1031,haverfordwest,gb,51.8,-4.97,39.2,80.0,0.0,8.05
1035,hargeysa,so,9.56,44.06,54.8,70.0,0.0,5.61
1037,shepsi,ru,44.04,39.15,51.56,95.0,92.0,11.1
1039,grindavik,is,63.84,-22.43,39.2,80.0,75.0,10.29
1041,porbandar,in,21.64,69.61,72.26,84.0,0.0,10.76
1049,ketchikan,us,55.34,-131.65,44.64,96.0,90.0,14.99
1050,sitrah,bh,26.15,50.62,70.63,64.0,0.0,2.24
1057,ratnagiri,in,16.98,73.3,78.83,100.0,0.0,9.98
1061,tokur,ru,53.13,132.9,17.63,76.0,88.0,6.73
1065,ishigaki,jp,24.34,124.16,66.77,100.0,8.0,26.75
1066,caravelas,br,-17.73,-39.27,81.62,100.0,0.0,17.69
1070,tarakan,id,3.3,117.63,77.3,100.0,92.0,3.04
1071,petrolina,br,-9.38,-40.5,91.4,43.0,20.0,6.93
1075,sirajganj,bd,24.46,89.71,64.43,79.0,0.0,2.71
1077,iwanai,jp,42.97,140.51,26.0,100.0,12.0,5.84
1078,kulhudhuffushi,mv,6.62,73.07,83.6,100.0,12.0,6.51
1080,qaqortoq,gl,60.72,-46.03,37.4,69.0,75.0,2.24
1082,koping,se,59.51,15.99,22.42,61.0,48.0,4.94
1092,mabai,cn,23.01,104.4,57.41,97.0,92.0,2.59
1093,tigil,ru,57.8,158.67,13.58,79.0,64.0,7.96
1096,kostino,ru,58.61,49.49,23.75,88.0,92.0,15.46
1098,chongwe,zm,-15.33,28.68,68.75,76.0,0.0,3.38
1100,sibolga,id,1.74,98.78,66.68,100.0,48.0,1.14
1101,kalmar,se,56.66,16.36,26.6,79.0,0.0,4.7
1109,dunedin,nz,-45.87,170.5,61.1,97.0,80.0,2.26
1120,juruti,br,-2.16,-56.09,88.73,57.0,0.0,2.82
1127,bima,id,-8.45,118.73,75.41,100.0,80.0,3.49
1130,kavaratti,in,10.57,72.64,83.6,100.0,8.0,3.15
1133,palafrugell,es,41.92,3.16,41.0,75.0,20.0,3.36
1137,poum,nc,-20.23,164.02,77.21,100.0,76.0,7.29
1138,necochea,ar,-38.55,-58.74,60.02,72.0,88.0,19.82
1139,olinda,br,-22.82,-43.41,87.08,74.0,20.0,16.11
1140,celestun,mx,20.87,-90.4,80.18,92.0,0.0,15.79
1142,dubki,ru,43.02,46.84,41.0,93.0,90.0,11.18
1143,brae,gb,60.4,-1.35,41.25,86.0,88.0,10.29
1144,adrar,dz,27.87,-0.29,80.6,24.0,0.0,6.93
1146,kokkola,fi,63.84,23.13,5.0,92.0,0.0,4.7
1150,victoria,sc,-4.62,55.45,82.4,83.0,0.0,3.36
1151,zhigansk,ru,66.77,123.37,-14.15,43.0,8.0,4.38
1169,harper,lr,4.38,-7.71,82.61,98.0,88.0,8.41
1174,quesnel,ca,52.98,-122.49,35.6,93.0,90.0,6.93
1191,kamaishi,jp,39.28,141.86,27.08,85.0,64.0,6.73
1196,ambulu,id,-8.35,113.61,76.76,100.0,0.0,5.17
1201,atar,mr,20.52,-13.05,68.21,23.0,0.0,7.4
1204,manakara,mg,-22.14,48.01,76.58,100.0,92.0,3.6
1213,nunoa,pe,-14.48,-70.64,43.01,99.0,80.0,3.15
1214,palkonda,in,18.6,83.76,69.83,98.0,0.0,2.82
1217,cordoba,ar,-27.78,-67.24,61.28,59.0,48.0,2.48
1221,segovia,es,40.95,-4.12,39.2,55.0,20.0,24.16
1223,seminole,us,32.72,-102.64,60.8,18.0,1.0,4.7
1228,cabatuan,ph,16.95,121.67,70.64,95.0,80.0,3.04
1230,alghero,it,40.56,8.32,48.2,87.0,40.0,9.17
1231,nieves,mx,24.0,-103.02,77.03,19.0,0.0,4.72
1232,namatanai,pg,-3.66,152.44,81.71,100.0,44.0,14.0
1234,zalantun,cn,48.0,122.72,10.7,64.0,0.0,2.37
1235,sept-iles,ca,50.2,-66.38,37.4,40.0,75.0,14.99
1237,bambanglipuro,id,-7.95,110.28,68.48,99.0,12.0,3.04
1243,adeje,es,28.12,-16.73,60.67,55.0,20.0,27.51
1244,yichun,cn,27.8,114.38,37.88,94.0,0.0,4.94
1250,hami,cn,42.84,93.51,36.08,76.0,0.0,2.59
1252,wanlaweyn,so,2.62,44.89,78.29,85.0,12.0,9.19
1257,ahtopol,bg,42.1,27.94,41.0,86.0,0.0,9.17
1265,mehriz,ir,31.58,54.44,57.2,15.0,0.0,2.24
1269,carballo,es,43.21,-8.69,44.53,70.0,40.0,12.75
1274,ipixuna,br,-1.76,-48.8,75.2,94.0,75.0,10.29
1278,carutapera,br,-1.2,-46.02,80.54,85.0,76.0,8.75
1279,qostanay,kz,53.17,63.58,19.4,92.0,90.0,8.95
1283,komsomolskiy,ru,67.55,63.78,-13.7,82.0,48.0,8.86
1284,acurenam,gq,1.03,10.65,71.9,97.0,92.0,2.37
1291,tongzi,cn,28.78,105.09,55.61,100.0,92.0,4.16
1307,baykit,ru,61.68,96.39,12.95,74.0,24.0,6.62
1313,shimoda,jp,34.7,138.93,47.51,100.0,92.0,35.03
1316,tobane,bw,-21.91,28.04,80.0,45.0,32.0,11.21
